Animation Recording — 2026-04-02T21:53:28.401Z
Viewport: 1404px  |  Center target: 702px  |  Frames: 141
Total duration: 3308ms

frame  time_ms  phase      mainCol.left  paneLeft  paneOpacity  scrollLeft  mode
  118     2958  spring              782      2444         1.00           0  notes-mode
  119     2975  spring              782      2444         1.00           0  notes-mode
  120     2991  spring              782      2444         1.00           0  notes-mode
  121     3008  spring              782      2444         1.00           0  notes-mode
  122     3025  spring              782      2444         1.00           0  notes-mode
  123     3041  spring              782      2444         1.00           0  notes-mode
  124     3058  spring              782      2444         1.00           0  notes-mode
  125     3074  spring              782      2444         1.00           0  notes-mode
  126     3091  spring              782      2444         1.00           0  notes-mode
  127     3108  spring              782      2444         1.00           0  notes-mode
  128     3125  spring              782      2444         1.00           0  notes-mode
  129     3141  spring              782      2444         1.00           0  notes-mode
  130     3158  spring              782      2444         1.00           0  notes-mode
  131     3159  finalize            782      2444         1.00           0  notes-mode
  132     3175  finalize            782         —         0.00           0  landing-mode
  133     3191  finalize            694         —         0.00           0  landing-mode
  134     3208  finalize            616         —         0.00           0  landing-mode
  135     3224  finalize            545         —         0.00           0  landing-mode
  136     3241  finalize            485         —         0.00           0  landing-mode
  137     3258  finalize            435         —         0.00           0  landing-mode
  138     3274  finalize            400         —         0.00           0  landing-mode
  139     3291  finalize            383         —         0.00           0  landing-mode
  140     3308  finalize            382         —         0.00           0  landing-mode
