Animation Recording — 2026-04-02T21:56:41.148Z
Viewport: 1404px  |  Center target: 702px  |  Frames: 143
Total duration: 3224ms

frame  time_ms  phase      mainCol.left  paneLeft  paneOpacity  scrollLeft  mode
  118     2841  spring              382      2444         0.00           0  notes-mode
  119     2858  spring              382      2444         0.00           0  notes-mode
  120     2874  spring              382      2444         0.00           0  notes-mode
  121     2891  spring              382      2444         0.00           0  notes-mode
  122     2908  spring              382      2444         0.00           0  notes-mode
  123     2924  spring              382      2444         0.00           0  notes-mode
  124     2941  spring              382      2444         0.00           0  notes-mode
  125     2958  spring              382      2444         0.00           0  notes-mode
  126     2974  spring              382      2444         0.00           0  notes-mode
  127     2991  spring              382      2444         0.00           0  notes-mode
  128     3008  spring              382      2444         0.00           0  notes-mode
  129     3024  spring              382      2444         0.00           0  notes-mode
  130     3041  spring              382      2444         0.00           0  notes-mode
  131     3058  spring              382      2444         0.00           0  notes-mode
  132     3074  spring              382      2444         0.00           0  notes-mode
  133     3075  finalize            382      2444         0.00           0  notes-mode
  134     3091  finalize            382         —         0.00           0  landing-mode
  135     3107  finalize            382         —         0.00           0  landing-mode
  136     3124  finalize            382         —         0.00           0  landing-mode
  137     3141  finalize            382         —         0.00           0  landing-mode
  138     3158  finalize            382         —         0.00           0  landing-mode
  139     3174  finalize            382         —         0.00           0  landing-mode
  140     3191  finalize            382         —         0.00           0  landing-mode
  141     3207  finalize            382         —         0.00           0  landing-mode
  142     3224  finalize            382         —         0.00           0  landing-mode
